123456789, Test Name, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 10.00
987654321, Impact Drill, 15, KBLT12345, Kobalt, Impact drill from Kobalt, False, 20.00
58195410, Tape Measure, 308, Test Model, Test Product Manufacturer, Test Product Description, False, 30.00
66513830, Pliers, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 40.00
62675605, Chisel, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 50.00
41323677, Axe, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 60.00
89796017, Mallet, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 70.00
42894568, Screwdriver, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 80.00
21529500, Hammer, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 90.00
74388440, PVC Pipe 10', 10, Test Model, Test Product Manufacturer, Test Product Description, False, 100.00
95770821, Chainsaw, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 110.00
44210029, Nail Gun, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 120.00
79975622, Soldering Iron, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 130.00
81003062, Electric Drill, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 140.00
81003062, Hacksaw, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 150.00
24596366, Bradawl, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 160.00
25818865, Washer, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 170.00
35931874, Nut, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 180.00
53856030, Bolt, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 190.00
83196246, Nail, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 200.00
25779412, Wire, 10, Test Model, Test Product Manufacturer, Test Product Description, False, 10.00
